Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2003,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4817,4817
2004,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4894,4894
2005,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4579,4579
2006,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4582,4582
2007,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4653,4653
2008,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4415,4415
2009,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,5126,5126
2010,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4625,4625
2011,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4870,4870
2012,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4836,4836
2013,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,5084,5084
2014,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,4900,4900
2015,Timber (000s green tonnes),,,,,Softwood,Private,5968,4691
2015,Timber (000s green tonnes),,,,England,Softwood,,2074,5011
2000,Timber (000s green tonnes),,,,,Softwood,Private,2572,2572
2001,Timber (000s green tonnes),,,,,Softwood,Private,2891,2891
2002,Timber (000s green tonnes),,,,,Softwood,Private,2793,2793
2003,Timber (000s green tonnes),,,,,Softwood,Private,3091,3091
2004,Timber (000s green tonnes),,,,,Softwood,Private,3246,3246
2005,Timber (000s green tonnes),,,,,Softwood,Private,3499,3499
2006,Timber (000s green tonnes),,,,,Softwood,Private,3661,3661
